Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Street Transit,17434.496666666666,48267.21666666667,36.12078315405936
Street Transit,8329.02,23060.79,36.117669863001225
Street Transit,21597.63,59800.23,36.11629921824716
Street Transit,20834.42,57696.22,36.11054589018136
Street Transit,15124.8,41885.26,36.11007786510099
"Clerical, Secretarial & Steno",17965.245,49752.079999999994,36.10953552092697
Street Transit,15811.615,43788.104999999996,36.10938404390873
Street Transit,17782.33,49249.31333333333,36.10675722450006
Street Transit,21734.583333333332,60199.77333333334,36.10409496558458
Street Transit,21961.725,60832.405,36.10201668009016
Street Transit,23814.093333333334,65964.31666666667,36.101478097122715
Correction & Detention,12725.546666666667,35253.549999999996,36.09720628608088
Street Transit,24495.92,67861.31999999999,36.09702846923697
Street Transit,16956.69,46975.42,36.09694176230888
Street Transit,24766.824999999997,68612.455,36.09668973366424
Street Transit,22828.706666666665,63246.39333333333,36.09487508062383
Street Transit,16309.913333333336,45188.746666666666,36.092865008279354
Street Transit,13855.15,38390.64,36.08991670886445
Street Transit,20746.47333333333,57487.42999999999,36.08871249477205
Street Transit,25209.02,69855.565,36.08734679907034
Street Transit,21119.95,58540.38,36.077575854478575
Street Transit,13982.82,38760.35,36.075061241707054
Street Transit,25027.245000000003,69382.76000000001,36.07127332495853
Street Transit,23201.243333333336,64332.08666666667,36.064807680729146
Street Transit,7276.095,20175.495,36.06402222101614
Street Transit,17333.065000000002,48064.909999999996,36.061786030599045
Street Transit,17326.355,48050.575,36.0585799441526
Street Transit,19053.88,52846.24,36.055318221315275
Street Transit,16193.92,44920.725,36.04999696687888
Street Transit,23056.01,63957.89666666667,36.04873080827288
Street Transit,23743.275,65865.51000000001,36.04811531862427
Street Transit,22071.875,61235.305,36.044361990195036
Street Transit,12042.78,33411.77,36.043525979018774
Street Transit,18624.11,51675.78,36.04030747092739
Street Transit,23093.646666666667,64094.593333333345,36.03056898506987
Street Transit,25325.15,70293.005,36.02798030899376
Street Transit,1364.1,3786.26,36.027636770850386
Street Transit,22279.78333333333,61841.57666666666,36.0271916310025
Street Transit,25190.095,69930.325,36.02170446083298
Street Transit,17803.4925,49427.244999999995,36.0195930402352
Street Transit,16176.835000000001,44911.455,36.01939638784805
Street Transit,21017.56,58361.39,36.012781738063474
Street Transit,24233.31,67303.84,36.00583562542643
Street Transit,11115.125,30870.64,36.00548935817333
Street Transit,26606.05,73894.59,36.005409868300234
Street Transit,22163.309999999998,61555.706666666665,36.005288867882925
Street Transit,21221.0,58939.145,36.0049335632541
Street Transit,23324.215,64785.235,36.002362266649186
Street Transit,16785.05,46622.32,36.002176639858334
Street Transit,24163.25,67116.59000000001,36.00190355320495
Street Transit,21396.183333333334,59434.38999999999,35.99966842989949
Street Transit,24034.135000000002,66762.905,35.99923490447278
Street Transit,19488.13666666667,54140.94,35.99519451761766
Street Transit,22040.476666666666,61238.19666666666,35.99138751037683
Street Transit,13250.595,36816.27,35.99113924360072
Street Transit,23252.08,64623.7,35.98073152728798
Street Transit,22187.67,61667.47,35.9795366990084
Street Transit,11952.135,33223.345,35.97511027261102
Park & Zoo,28499.9325,79229.325,35.97144428530724
Street Transit,15222.240000000002,42317.575000000004,35.971437399236606
Street Transit,15418.506666666666,42867.159999999996,35.96810860963654
Street Transit,21863.536666666667,60786.62666666667,35.96767556548074
Med Therapy & Auxiliary,15640.665,43486.865,35.96641192691173
Street Transit,18919.373333333333,52606.12666666667,35.96420138136001
Street Transit,18315.43,50927.37,35.96382456034937
Street Transit,28473.835,79182.335,35.959832455054524
Street Transit,22165.06,61639.875,35.95896325227785
Street Transit,27286.18,75886.08499999999,35.95676335127844
Street Transit,13116.839999999998,36480.557499999995,35.955700512526434
Street Transit,18591.44,51707.76,35.95483540574954
Med Therapy & Auxiliary,19903.015,55369.3,35.94593935628588
Street Transit,12791.66,35586.969999999994,35.94478540881677
Semi-Skilled & General Labor,7087.615,19718.44,35.944095983252225
Street Transit,25363.949999999997,70581.12,35.93588483719159
Street Transit,13949.93,38820.17,35.934747323363084
Street Transit,26059.405,72524.935,35.93164888737921
Street Transit,23886.260000000002,66480.555,35.92969402857724
Street Transit,22609.61,62928.55,35.92901790999475
Street Transit,20540.373333333333,57171.416666666664,35.92769696978531
Street Transit,20288.02666666667,56470.00666666666,35.92708388795421
Street Transit,23351.813333333335,65001.30333333332,35.925146321425046
Street Transit,28302.875,78783.515,35.924869561862025
Street Transit,19473.405,54225.505,35.91189238348264
Street Transit,20040.02,55810.3,35.90738627099299
Street Transit,17408.705,48484.884999999995,35.905427021225286
Street Transit,22358.02666666667,62271.31333333333,35.904215713238536
Street Transit,22824.835,63573.44,35.90309884127711
Street Transit,10945.519999999999,30488.086666666666,35.900973779266344
Street Transit,19691.705,54851.765,35.89985664089387
Street Transit,28452.93,79269.11,35.89409544272668
Street Transit,18542.96,51661.98,35.892855829373936
Street Transit,19337.68,53876.275,35.892756134309586
Street Transit,13801.54,38453.52,35.89148665713828
Street Transit,22505.13,62710.76000000001,35.88719065117373
Street Transit,15092.336666666664,42058.26666666667,35.88435250145036
Street Transit,20391.420000000002,56828.05333333334,35.882664993627564
Street Transit,18701.713333333337,52119.39333333333,35.88244631652787
Street Transit,29200.985,81387.51999999999,35.87894679675705
Street Transit,21364.66,59554.30499999999,35.87424956096793
Street Transit,7741.58,21579.905000000002,35.87402261502077
Street Transit,26720.84,74488.525,35.87242464527255
Street Transit,28262.03,78787.66,35.87113768831311
Street Transit,29083.035,81087.68,35.86615747299714
Public Service Aide,19527.132,54444.45,35.86615715651458
